
########################
###### TV-OSMOSIS ######
########################

experiment: 1
alpha blur: no
initial.  : u0 = f

###### PARAMETERS ######
-- model --
eta             : 0.50
mu              : 100.00
gamma           : 1.00
epsilon (huber) : 0.05
-- iPiano --
beta1           : 0.40
beta2           : 0.40
lambda1         : 2.00
lambda2         : 1.20
L1 (starting)   : 1.00
L2 (starting)   : 1.00
tol iPiano      : 1.00e-06
maxiter         : 10000
-- Primal-Dual --
tol PD          : 1.00e-04
maxiter PD      : 10000
-------------------------------------------------------------------------
   087   | (6.50e-01 | 1.36e+06) | 6.0816e+03 | 3.31e-06 | 5.72e-05 (4)
   088   | (5.42e-01 | 1.14e+06) | 6.0815e+03 | 3.70e-06 | 6.65e-05 (4)
   089   | (4.52e-01 | 9.47e+05) | 6.0815e+03 | 4.28e-06 | 7.72e-05 (4)
   090   | (3.76e-01 | 1.58e+06) | 6.0815e+03 | 4.96e-06 | 5.08e-05 (4)
   091   | (3.14e-01 | 1.32e+06) | 6.0814e+03 | 5.77e-06 | 5.89e-05 (4)
   092   | (2.61e-01 | 1.10e+06) | 6.0814e+03 | 6.53e-06 | 6.85e-05 (4)
   093   | (8.71e-01 | 1.83e+06) | 6.0814e+03 | 4.15e-06 | 4.50e-05 (4)
   094   | (7.26e-01 | 1.52e+06) | 6.0814e+03 | 3.08e-06 | 5.23e-05 (4)
   095   | (6.05e-01 | 1.27e+06) | 6.0813e+03 | 3.05e-06 | 6.07e-05 (4)
   096   | (5.04e-01 | 1.06e+06) | 6.0813e+03 | 3.35e-06 | 7.05e-05 (4)
   097   | (4.20e-01 | 1.76e+06) | 6.0813e+03 | 3.80e-06 | 4.64e-05 (4)
   098   | (3.50e-01 | 1.47e+06) | 6.0813e+03 | 4.30e-06 | 5.39e-05 (4)
   099   | (5.83e-01 | 1.22e+06) | 6.0812e+03 | 3.55e-06 | 6.25e-05 (4)
   100   | (4.86e-01 | 1.02e+06) | 6.0812e+03 | 3.44e-06 | 7.27e-05 (4)
